file,class
100001.png,<=25
100002.png,>50_75
100003.png,<=25
100004.png,<=25
100005.png,>50_75
100006.png,>75
100007.png,<=25
100008.png,>75
100009.png,>25_50
100010.png,>25_50
100011.png,<=25
100012.png,>25_50
100013.png,>50_75
100014.png,>75
100015.png,>25_50
100016.png,>50_75
100017.png,<=25
100018.png,>75
100019.png,>50_75
100020.png,>75
100021.png,>25_50
100022.png,<=25
100023.png,>50_75
100024.png,<=25
100026.png,>25_50
100027.png,<=25
100029.png,<=25
100030.png,>50_75
100031.png,>50_75
100032.png,>75
100034.png,<=25
100035.png,>75
100036.png,>50_75
100037.png,>75
100038.png,>25_50
100039.png,>25_50
100040.png,>75
100041.png,>25_50
100042.png,>25_50
100043.png,>25_50
100044.png,<=25
100045.png,>50_75
100046.png,>25_50
100048.png,>75
100049.png,>75
100051.png,>25_50
100053.png,>25_50
100054.png,>50_75
100055.png,>75
100056.png,>50_75
100057.png,>75
100058.png,<=25
100059.png,>25_50
100060.png,>25_50
100061.png,>25_50
100062.png,>75
100063.png,>75
100064.png,>50_75
100065.png,>25_50
100066.png,<=25
100067.png,>50_75
100068.png,<=25
100069.png,>75
100070.png,<=25
100071.png,>25_50
100074.png,>50_75
100075.png,>75
100076.png,>75
100077.png,>50_75
100078.png,>75
100079.png,>50_75
100080.png,>75
100082.png,>50_75
100083.png,>75
100084.png,>50_75
100085.png,>25_50
100086.png,>75
100087.png,>75
100088.png,>50_75
100089.png,>50_75
100090.png,>50_75
100091.png,>75
100092.png,>25_50
100094.png,>75
100095.png,>75
100098.png,>75
100099.png,>50_75
100101.png,<=25
100102.png,<=25
100103.png,>75
100104.png,<=25
100105.png,>25_50
100106.png,>25_50
100107.png,>25_50
100108.png,>25_50
100109.png,>75
100110.png,>75
100111.png,<=25
100112.png,<=25
100113.png,>25_50
100114.png,>25_50
100115.png,>50_75
100116.png,<=25
100117.png,<=25
100118.png,>50_75
100119.png,>25_50
100120.png,<=25
100121.png,>75
100122.png,>50_75
100123.png,>50_75
100124.png,>50_75
100125.png,>75
100126.png,>25_50
100127.png,<=25
100128.png,>50_75
100129.png,>75
100130.png,>50_75
100131.png,>25_50
100132.png,<=25
100133.png,>75
100134.png,<=25
100135.png,>75
100136.png,>25_50
100137.png,<=25
100138.png,>25_50
100139.png,>75
100140.png,>50_75
100141.png,>50_75
100142.png,>75
100143.png,>50_75
100144.png,>25_50
100145.png,<=25
100146.png,>50_75
100147.png,>75
100148.png,>25_50
100149.png,>25_50
100150.png,>25_50
100151.png,>25_50
100152.png,<=25
100153.png,<=25
100154.png,>25_50
100155.png,>75
100156.png,>75
100157.png,>75
100158.png,>75
100159.png,>25_50
100160.png,>50_75
100161.png,>75
100162.png,>25_50
100163.png,>25_50
100164.png,>50_75
100165.png,>50_75
100166.png,>75
100167.png,>50_75
100168.png,>50_75
100169.png,<=25
100170.png,<=25
100171.png,>50_75
100172.png,<=25
100173.png,>25_50
100174.png,>50_75
100175.png,>25_50
100176.png,>75
100177.png,>25_50
100178.png,>50_75
100179.png,>50_75
100180.png,>50_75
100181.png,>25_50
100182.png,>25_50
100183.png,>25_50
100184.png,>75
100185.png,>25_50
100186.png,>75
100187.png,>50_75
100188.png,>50_75
100189.png,>50_75
100190.png,>25_50
100191.png,>50_75
100192.png,>75
100193.png,>75
100194.png,>75
100195.png,>75
100196.png,>50_75
100197.png,>50_75
100198.png,>50_75
100199.png,>50_75
100200.png,>75
100201.png,>50_75
100202.png,>75
100203.png,>25_50
100204.png,<=25
100205.png,>50_75
100206.png,>50_75
100207.png,>50_75
100208.png,>75
100209.png,>75
100210.png,>25_50
100211.png,>25_50
100212.png,>25_50
100213.png,>50_75
100214.png,>50_75
100215.png,>75
100216.png,>25_50
100217.png,>75
100218.png,<=25
100219.png,>25_50
100220.png,<=25
100221.png,>25_50
100222.png,>75
100223.png,>50_75
100224.png,>75
100225.png,>75
100226.png,<=25
100227.png,<=25
100228.png,>25_50
100229.png,>75
100230.png,>50_75
100231.png,>25_50
100232.png,>50_75
100233.png,>75
100234.png,>25_50
100235.png,>75
100236.png,>25_50
100237.png,>75
100238.png,>50_75
100239.png,>50_75
100240.png,>75
100241.png,>75
100242.png,>75
100243.png,>75
100244.png,<=25
100245.png,>75
100246.png,<=25
100247.png,>75
100248.png,>75
100249.png,>75
100250.png,>75
100251.png,>75
100252.png,<=25
100253.png,>50_75
100254.png,>50_75
100255.png,>25_50
100256.png,<=25
100257.png,>25_50
100258.png,>50_75
100259.png,>25_50
100260.png,<=25
100261.png,<=25
100262.png,<=25
100263.png,>75
100264.png,>75
100265.png,>25_50
100266.png,<=25
100267.png,>50_75
100268.png,<=25
100269.png,>25_50
100270.png,<=25
100271.png,>25_50
100272.png,<=25
100273.png,>50_75
100274.png,>50_75
100275.png,>75
100276.png,>25_50
100277.png,>50_75
100278.png,>75
100279.png,>75
100280.png,>75
100281.png,>75
100282.png,>75
100283.png,>50_75
100284.png,>25_50
100285.png,>75
100286.png,>25_50
100287.png,>25_50
100288.png,>75
100289.png,>50_75
100290.png,>75
100291.png,>75
100292.png,>50_75
100293.png,<=25
100294.png,>75
100295.png,<=25
100296.png,>75
100297.png,>75
100298.png,>50_75
100299.png,>75
100300.png,>75
100301.png,>75
100302.png,>75
100303.png,>25_50
100304.png,>75
100305.png,>25_50
100306.png,>50_75
100307.png,>50_75
100308.png,>25_50
100309.png,>25_50
100310.png,>50_75
100311.png,>75
100312.png,<=25
100313.png,>75
100314.png,>25_50
100315.png,>25_50
100316.png,>75
100317.png,>50_75
100318.png,<=25
100319.png,>75
100320.png,>50_75
100321.png,>75
100322.png,>25_50
100323.png,>50_75
100324.png,<=25
100325.png,<=25
100326.png,<=25
100327.png,<=25
100328.png,<=25
100329.png,<=25
100330.png,>25_50
100331.png,<=25
100332.png,>50_75
100333.png,>50_75
100334.png,>75
100335.png,>75
100336.png,>75
100337.png,>25_50
100338.png,>25_50
100339.png,>25_50
100340.png,>25_50
100341.png,>75
100342.png,>75
100343.png,>50_75
100344.png,<=25
100345.png,<=25
100346.png,>25_50
100347.png,>25_50
100348.png,>50_75
100349.png,>50_75
100350.png,>75
100351.png,<=25
100352.png,<=25
100353.png,>50_75
100354.png,>75
100355.png,>50_75
100356.png,>75
100357.png,>25_50
100358.png,<=25
100359.png,>25_50
100360.png,>25_50
100361.png,<=25
100362.png,>75
100363.png,<=25
100364.png,<=25
100365.png,>50_75
100366.png,>75
100367.png,>50_75
100368.png,>75
100369.png,>75
100370.png,>50_75
100371.png,>50_75
100372.png,>50_75
100373.png,>75
100374.png,>75
100375.png,>75
100376.png,>75
100377.png,>75
100378.png,>75
100379.png,>50_75
100380.png,>50_75
100381.png,>50_75
100382.png,>75
100383.png,<=25
100384.png,<=25
100385.png,>75
100386.png,>75
100387.png,>50_75
100388.png,>75
100389.png,>25_50
100390.png,>25_50
100391.png,>50_75
100392.png,>75
100393.png,>25_50
100394.png,<=25
100395.png,<=25
100396.png,<=25
100397.png,>50_75
100398.png,>75
100399.png,<=25
100400.png,>50_75
100401.png,>75
100402.png,>25_50
100403.png,>25_50
100404.png,>75
100405.png,<=25
100406.png,>25_50
100407.png,>25_50
100408.png,>25_50
100409.png,>25_50
100410.png,>25_50
100411.png,<=25
100412.png,>25_50
100413.png,>50_75
100414.png,>25_50
100415.png,>50_75
100416.png,<=25
100417.png,<=25
100418.png,>50_75
100419.png,<=25
100420.png,<=25
100421.png,>25_50
100422.png,>25_50
100423.png,<=25
100424.png,>25_50
100425.png,>25_50
100426.png,<=25
100427.png,>25_50
100428.png,>25_50
100429.png,>50_75
100430.png,>25_50
100431.png,>50_75
100432.png,>50_75
100433.png,>50_75
100434.png,<=25
100435.png,<=25
100436.png,>25_50
100437.png,<=25
100438.png,<=25
100439.png,<=25
100440.png,<=25
100441.png,>50_75
100442.png,>25_50
100443.png,>50_75
100444.png,>75
100445.png,>75
100446.png,>75
100447.png,>75
100448.png,>25_50
100449.png,>75
100450.png,>50_75
100451.png,<=25
100452.png,>50_75
100453.png,>75
100454.png,>75
100455.png,<=25
100456.png,>25_50
100457.png,>25_50
100458.png,>25_50
100459.png,>25_50
100460.png,>50_75
100461.png,>25_50
100462.png,>75
100463.png,>50_75
100464.png,>50_75
100465.png,>75
100466.png,>25_50
100467.png,>75
100468.png,>25_50
100469.png,>75
100470.png,>75
100471.png,>75
100472.png,>75
100473.png,<=25
100474.png,>50_75
100475.png,>50_75
100476.png,<=25
100477.png,>25_50
100478.png,>25_50
100479.png,>50_75
100480.png,>75
100481.png,>50_75
100482.png,>75
100483.png,>50_75
100484.png,>50_75
100485.png,>50_75
100486.png,>25_50
100487.png,>75
100488.png,>25_50
100489.png,>75
100490.png,>50_75
100491.png,<=25
100492.png,<=25
100493.png,<=25
100494.png,>25_50
100495.png,>25_50
100496.png,>75
100497.png,>50_75
100498.png,>25_50
100499.png,>25_50
100500.png,>50_75
100501.png,>50_75
100502.png,>50_75
100503.png,<=25
100504.png,>25_50
100505.png,>25_50
100506.png,<=25
100507.png,<=25
100509.png,>50_75
100521.png,<=25
100522.png,>50_75
100523.png,>75
100524.png,>75
100525.png,>25_50
100526.png,>50_75
100527.png,>50_75
100528.png,>75
100529.png,>75
100530.png,>25_50
100531.png,<=25
100532.png,<=25
100533.png,<=25
100534.png,>75
100535.png,<=25
100536.png,<=25
100537.png,>25_50
100538.png,>50_75
100539.png,<=25
100540.png,>25_50
100541.png,>25_50
100542.png,<=25
100543.png,>75
100544.png,>75
100545.png,>50_75
100546.png,>75
100547.png,>50_75
100548.png,>75
100549.png,>50_75
100550.png,>25_50
100551.png,<=25
100552.png,<=25
100553.png,<=25
100554.png,>25_50
100555.png,>50_75
100556.png,>25_50
100557.png,>50_75
100558.png,>50_75
100559.png,>75
100560.png,>75
100561.png,>75
100562.png,>75
100563.png,<=25
